model_name,criterion,optimizer,learning_rate,num_epochs,input_size,hidden_layers,qtd_hidden_layers,activation_function,accuracy,average_loss
MLP,CrossEntropyLoss,Adam,0.001,50,16,[2],1,ReLU,0.33161953727506427,1.8853729367256165
MLP,CrossEntropyLoss,Adam,0.001,50,16,[4],1,ReLU,0.15571061329416086,1.7540056109428406
MLP,CrossEntropyLoss,Adam,0.001,50,16,[6],1,ReLU,0.35952993022401764,1.5106632709503174
MLP,CrossEntropyLoss,Adam,0.001,50,16,[8],1,ReLU,0.4491369812706574,1.4092451333999634
MLP,CrossEntropyLoss,Adam,0.001,50,16,[10],1,ReLU,0.6103562247521116,1.1296918988227844
MLP,CrossEntropyLoss,Adam,0.001,50,16,[12],1,ReLU,0.4884318766066838,1.2080726027488708
MLP,CrossEntropyLoss,Adam,0.001,50,16,[14],1,ReLU,0.7344840249724568,0.9420699179172516
MLP,CrossEntropyLoss,Adam,0.001,50,16,[16],1,ReLU,0.6959236136614029,1.0113921761512756
MLP,CrossEntropyLoss,Adam,0.001,50,16,[18],1,ReLU,0.6933529195739992,1.0279104709625244
MLP,CrossEntropyLoss,Adam,0.001,50,16,[20],1,ReLU,0.8108703635695924,0.8828760981559753
MLP,CrossEntropyLoss,Adam,0.01,50,16,[2],1,ReLU,0.5196474476680132,1.106798768043518
MLP,CrossEntropyLoss,Adam,0.01,50,16,[4],1,ReLU,0.8821153139919207,0.35896964371204376
MLP,CrossEntropyLoss,Adam,0.01,50,16,[6],1,ReLU,0.8802791039294895,0.3704751878976822
MLP,CrossEntropyLoss,Adam,0.01,50,16,[8],1,ReLU,0.9030481087036357,0.2852625846862793
MLP,CrossEntropyLoss,Adam,0.01,50,16,[10],1,ReLU,0.914799853103195,0.251002699136734
MLP,CrossEntropyLoss,Adam,0.01,50,16,[12],1,ReLU,0.901946382666177,0.2705889046192169
MLP,CrossEntropyLoss,Adam,0.01,50,16,[14],1,ReLU,0.9140653690782226,0.2406977415084839
MLP,CrossEntropyLoss,Adam,0.01,50,16,[16],1,ReLU,0.9111274329783328,0.24758045375347137
MLP,CrossEntropyLoss,Adam,0.01,50,16,[18],1,ReLU,0.9133308850532501,0.2377649024128914
MLP,CrossEntropyLoss,Adam,0.01,50,16,[20],1,ReLU,0.9162688211531399,0.22915548086166382
